Date	Time	Severity	PID	TID	Function	Message
20-04-2026	16:11:33.673	 INFO	 36180	 40264	DllMain	"DLL_PROCESS_ATTACH Sun Apr 27 14:47:17 2025 11.4.2500.28"
20-04-2026	16:11:33.675	 INFO	 36180	 40196	LateInitialization	"Intialization..."
20-04-2026	16:11:33.675	 INFO	 36180	 40196	LateInitialization	"Exe = C:\Users\rohits1\AppData\Local\Programs\Git\usr\bin\vim.exe"
20-04-2026	16:11:33.676	 INFO	 36180	 40196	LateInitialization	"IsExplorer = 0"
20-04-2026	16:11:33.677	 INFO	 36180	 40196	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
20-04-2026	16:11:33.677	 INFO	 36180	 40196	LateInitialization	"Intialization finished"
20-04-2026	16:17:38.319	 INFO	 43772	 41108	DllMain	"DLL_PROCESS_ATTACH Sun Apr 27 14:47:17 2025 11.4.2500.28"
20-04-2026	16:17:38.320	 INFO	 43772	 17924	LateInitialization	"Intialization..."
20-04-2026	16:17:38.321	 INFO	 43772	 17924	LateInitialization	"Exe = C:\Users\rohits1\AppData\Local\Programs\Git\usr\bin\vim.exe"
20-04-2026	16:17:38.322	 INFO	 43772	 17924	LateInitialization	"IsExplorer = 0"
20-04-2026	16:17:38.323	 INFO	 43772	 17924	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
20-04-2026	16:17:38.324	 INFO	 43772	 17924	LateInitialization	"Intialization finished"
